,country_iso3,year,milex_usd,milex_pct,milex_gov_exp_pct,population,country_name,region_name_wb
0,CAN,2018,22729327580.3404,1.3176781061648,3.24053601561142,37072620.0,Canada,North America
1,CAN,2019,22394875659.3821,1.28451224366918,3.16463042573107,37618495.0,Canada,North America
2,CAN,2020,23082774049.217,1.40083568623706,2.65763445291572,38028638.0,Canada,North America
3,CAN,2021,25362240829.3461,1.26729446473527,2.76364039241925,38239864.0,Canada,North America
4,CAN,2022,25567943876.0417,1.19577775821206,2.88605986486604,38939056.0,Canada,North America
5,CAN,2023,27221543360.7346,1.29300145446276,3.12365093393613,40097761.0,Canada,North America
6,CAN,2024,,,,,Canada,North America
7,GBR,2018,55832916405.2492,1.94455569473457,5.0074957944585,66460344.0,United Kingdom,Europe & Central Asia
8,GBR,2019,56567602040.8163,1.98525373099586,5.14134675021302,66836327.0,United Kingdom,Europe & Central Asia
9,GBR,2020,58332371794.8718,2.16221591341109,4.32506487704256,67081234.0,United Kingdom,Europe & Central Asia
10,GBR,2021,65136216155.4333,2.07322203588405,4.50810429590069,67026292.0,United Kingdom,Europe & Central Asia
11,GBR,2022,64081634276.6912,2.07392558799882,4.70938785223391,67791000.0,United Kingdom,Europe & Central Asia
12,GBR,2023,74942843459.5794,2.26487905161201,5.15239962242416,68350000.0,United Kingdom,Europe & Central Asia
13,GBR,2024,,,,,United Kingdom,Europe & Central Asia
14,USA,2018,682491400000.0,3.30400061907828,9.34950464124848,326838199.0,United States,North America
15,USA,2019,734344100000.0,3.412158459059,9.549710651911,328329953.0,United States,North America
16,USA,2020,778397200000.0,3.65051373404041,8.24669400036021,331526933.0,United States,North America
17,USA,2021,806230200000.0,3.41709395411995,8.03866831515345,332048977.0,United States,North America
18,USA,2022,860692200000.0,3.34325893120951,9.32332640062394,333271411.0,United States,North America
19,USA,2023,916014700000.0,3.36183648558074,9.05528677909805,334914895.0,United States,North America
20,USA,2024,,,,,United States,North America
